Team,Match Up,Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ORL,ORL @ BKN,2014-04-13,L,240,88,35,74,0.473,8,20,0.400,10,14,0.714,8,23,31,22,13,2,20,23,-9
NYK,NYK vs. CHI,2014-04-13,W,240,100,37,81,0.457,9,25,0.360,17,21,0.810,7,29,36,16,9,5,9,25,11
CHI,CHI @ NYK,2014-04-13,L,240,89,29,74,0.392,6,22,0.273,25,32,0.781,12,33,45,23,4,1,16,19,-11
MEM,MEM @ LAL,2014-04-13,W,240,102,42,88,0.477,8,15,0.533,10,13,0.769,16,36,52,29,10,7,17,12,12
LAL,LAL vs. MEM,2014-04-13,L,240,90,35,80,0.438,11,27,0.407,9,11,0.818,5,27,32,29,9,5,17,15,-12
PHI,PHI @ CHA,2014-04-12,L,240,105,41,93,0.441,5,25,0.200,18,26,0.692,11,29,40,18,8,1,9,30,-6
CHA,CHA vs. PHI,2014-04-12,W,240,111,39,72,0.542,7,19,0.368,26,41,0.634,9,32,41,23,3,9,15,22,6
MIL,MIL @ WAS,2014-04-12,L,240,91,32,68,0.471,5,8,0.625,22,34,0.647,13,29,42,20,5,3,20,16,-13
WAS,WAS vs. MIL,2014-04-12,W,240,104,40,84,0.476,8,22,0.364,16,19,0.842,8,28,36,25,7,5,11,23,13
DEN,DEN vs. UTA,2014-04-12,W,240,101,35,84,0.417,7,22,0.318,24,29,0.828,14,38,52,23,5,5,18,26,7
UTA,UTA @ DEN,2014-04-12,L,240,94,34,79,0.430,2,13,0.154,24,32,0.750,8,31,39,20,13,6,14,23,-7
DAL,DAL vs. PHX,2014-04-12,W,240,101,39,79,0.494,11,24,0.458,12,15,0.800,9,33,42,21,11,5,19,18,3
PHX,PHX @ DAL,2014-04-12,L,240,98,36,78,0.462,8,17,0.471,18,23,0.783,12,29,41,14,16,4,18,18,-3
MIA,MIA @ ATL,2014-04-12,L,240,85,35,73,0.479,6,25,0.240,9,19,0.474,6,38,44,18,5,5,20,20,-13
ATL,ATL vs. MIA,2014-04-12,W,240,98,36,78,0.462,10,22,0.455,16,19,0.842,5,33,38,24,13,2,13,22,13
LAC,LAC vs. SAC,2014-04-12,W,240,117,41,81,0.506,9,19,0.474,26,36,0.722,10,33,43,31,6,8,11,26,16
SAC,SAC @ LAC,2014-04-12,L,240,101,35,82,0.427,4,9,0.444,27,33,0.818,12,26,38,21,5,4,10,26,-16
HOU,HOU vs. NOP,2014-04-12,W,240,111,35,74,0.473,10,27,0.370,31,39,0.795,6,30,36,23,10,8,13,19,7
NOP,NOP @ HOU,2014-04-12,L,240,104,39,88,0.443,9,22,0.409,17,21,0.810,8,31,39,20,7,8,11,26,-7
BOS,BOS @ CLE,2014-04-12,W,240,111,42,90,0.467,12,30,0.400,15,18,0.833,7,40,47,27,5,5,11,24,12
CLE,CLE vs. BOS,2014-04-12,L,240,99,37,90,0.411,5,18,0.278,20,30,0.667,15,34,49,22,2,2,12,20,-12
OKC,OKC vs. NOP,2014-04-11,W,240,116,44,82,0.537,5,13,0.385,23,27,0.852,8,39,47,28,8,12,11,21,22
NOP,NOP @ OKC,2014-04-11,L,240,94,35,86,0.407,9,18,0.500,15,19,0.789,8,27,35,24,4,4,15,20,-22
TOR,TOR vs. NYK,2014-04-11,L,240,100,30,76,0.395,15,33,0.455,25,31,0.806,14,28,42,16,2,4,16,24,-8
NYK,NYK @ TOR,2014-04-11,W,240,108,35,73,0.479,6,24,0.250,32,36,0.889,7,32,39,16,6,3,8,24,8
PHI,PHI @ MEM,2014-04-11,L,240,95,39,88,0.443,6,18,0.333,11,17,0.647,8,28,36,16,14,3,15,26,-22
MEM,MEM vs. PHI,2014-04-11,W,240,117,44,81,0.543,5,13,0.385,24,32,0.750,10,39,49,28,8,8,16,15,22
HOU,HOU @ MIN,2014-04-11,L,240,110,36,83,0.434,11,25,0.440,27,36,0.750,15,37,52,22,12,4,22,32,-2
MIN,MIN vs. HOU,2014-04-11,W,240,112,41,94,0.436,3,12,0.250,27,40,0.675,18,32,50,22,13,8,15,25,2
CLE,CLE @ MIL,2014-04-11,L,240,116,42,85,0.494,4,20,0.200,28,35,0.800,11,29,40,18,11,4,10,27,-3
MIL,MIL vs. CLE,2014-04-11,W,240,119,44,84,0.524,6,16,0.375,25,38,0.658,14,27,41,20,5,4,12,22,3
POR,POR @ UTA,2014-04-11,W,240,111,40,87,0.460,11,22,0.500,20,24,0.833,9,32,41,23,7,3,8,12,12
UTA,UTA vs. POR,2014-04-11,L,240,99,40,86,0.465,6,13,0.462,13,16,0.813,13,34,47,26,3,4,13,19,-12
ORL,ORL vs. WAS,2014-04-11,L,240,86,32,77,0.416,4,19,0.211,18,24,0.750,10,32,42,21,9,5,18,31,-10
WAS,WAS @ ORL,2014-04-11,W,240,96,35,82,0.427,2,19,0.105,24,33,0.727,13,31,44,24,7,4,13,19,10
IND,IND @ MIA,2014-04-11,L,240,86,31,65,0.477,8,14,0.571,16,19,0.842,5,26,31,20,5,3,16,23,-12
MIA,MIA vs. IND,2014-04-11,W,240,98,35,75,0.467,6,16,0.375,22,28,0.786,11,29,40,14,10,4,9,22,12
BKN,BKN vs. ATL,2014-04-11,L,240,88,34,80,0.425,6,22,0.273,14,25,0.560,9,29,38,22,9,3,15,21,-5
ATL,ATL @ BKN,2014-04-11,W,240,93,36,79,0.456,1,19,0.053,20,21,0.952,9,35,44,17,5,9,13,20,5
BOS,BOS vs. CHA,2014-04-11,W,240,106,41,79,0.519,11,23,0.478,13,13,1.000,7,30,37,22,7,3,20,16,3
CHA,CHA @ BOS,2014-04-11,L,240,103,44,87,0.506,7,18,0.389,8,12,0.667,7,27,34,33,12,4,12,20,-3
CHI,CHI vs. DET,2014-04-11,W,240,106,40,81,0.494,5,19,0.263,21,23,0.913,9,30,39,27,6,7,12,19,8
DET,DET @ CHI,2014-04-11,L,240,98,40,86,0.465,5,17,0.294,13,23,0.565,15,30,45,12,7,2,11,21,-8
LAL,LAL vs. GSW,2014-04-11,L,240,95,35,89,0.393,9,28,0.321,16,20,0.800,8,34,42,23,10,2,15,12,-17
GSW,GSW @ LAL,2014-04-11,W,240,112,45,92,0.489,13,25,0.520,9,13,0.692,12,45,57,27,12,5,18,17,17
PHX,PHX @ SAS,2014-04-11,L,240,104,39,82,0.476,9,26,0.346,17,19,0.895,10,38,48,18,7,1,20,17,-8
SAS,SAS vs. PHX,2014-04-11,W,240,112,43,96,0.448,13,30,0.433,13,16,0.813,11,31,42,24,10,5,7,15,8
SAS,SAS @ DAL,2014-04-10,W,240,109,38,88,0.432,16,34,0.471,17,22,0.773,15,33,48,22,9,1,13,22,9
DAL,DAL vs. SAS,2014-04-10,L,240,100,39,83,0.470,5,12,0.417,17,21,0.810,8,34,42,16,5,5,10,17,-9
DEN,DEN @ GSW,2014-04-10,W,240,100,39,104,0.375,10,34,0.294,12,19,0.632,25,38,63,23,9,5,17,18,1
GSW,GSW vs. DEN,2014-04-10,L,240,99,40,88,0.455,6,23,0.261,13,15,0.867,6,32,38,19,9,4,13,17,-1
