Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
PHI,2014-03-19,L,Home,CHI102-94PHI,0.457,37,81,0.458,11,24,0.474,9,19,38,9,29,22,13,6,14,21,94
PHX,2014-03-19,W,Home,ORL93-109PHX,0.506,45,89,0.440,11,25,0.667,8,12,43,10,33,22,11,6,16,22,109
WAS,2014-03-20,L,Away,POR116-103WAS,0.422,38,90,0.444,12,27,0.882,15,17,43,15,28,25,5,5,11,21,103
POR,2014-03-20,W,Home,WAS103-116POR,0.506,41,81,0.400,14,35,0.800,20,25,43,11,32,32,5,1,11,18,116
MIN,2014-03-20,L,Away,HOU129-106MIN,0.437,38,87,0.429,12,28,0.783,18,23,40,14,26,28,6,3,16,16,106
HOU,2014-03-20,W,Home,MIN106-129HOU,0.576,49,85,0.421,16,38,0.789,15,19,44,9,35,36,11,7,15,20,129
OKC,2014-03-20,W,Away,CLE95-102OKC,0.427,38,89,0.323,10,31,0.800,16,20,53,18,35,21,8,7,18,21,102
CLE,2014-03-20,L,Home,OKC102-95CLE,0.444,36,81,0.364,8,22,0.625,15,24,36,9,27,27,9,0,12,20,95
GSW,2014-03-20,W,Home,MIL110-115GSW,0.538,43,80,0.296,8,27,0.840,21,25,42,8,34,26,6,3,15,28,115
MIL,2014-03-20,L,Away,GSW115-110MIL,0.488,39,80,0.250,3,12,0.744,29,39,36,7,29,23,7,1,11,21,110
OKC,2014-03-21,W,Away,TOR118-119OKC,0.388,38,98,0.333,12,36,0.816,31,38,47,9,38,18,10,4,14,30,119
TOR,2014-03-21,L,Home,OKC119-118TOR,0.406,41,101,0.276,8,29,0.848,28,33,57,14,43,17,10,8,20,32,118
SAS,2014-03-21,W,Away,SAC79-99SAS,0.387,36,93,0.200,5,25,0.815,22,27,52,13,39,18,7,7,9,17,99
SAC,2014-03-21,L,Home,SAS99-79SAC,0.400,32,80,0.286,4,14,0.611,11,18,48,7,41,17,3,9,15,22,79
DEN,2014-03-21,L,Away,DAL122-106DEN,0.494,40,81,0.433,13,30,0.619,13,21,35,10,25,24,8,4,16,19,106
DAL,2014-03-21,W,Home,DEN106-122DAL,0.539,48,89,0.545,12,22,0.824,14,17,48,15,33,28,11,5,16,18,122
NOP,2014-03-21,W,Away,ATL105-111NOP,0.514,36,70,0.308,4,13,0.814,35,43,40,7,33,20,10,6,15,28,111
IND,2014-03-21,W,Home,CHI79-91IND,0.430,34,79,0.182,2,11,0.840,21,25,51,13,38,27,4,9,16,18,91
CHI,2014-03-21,L,Away,IND91-79CHI,0.364,28,77,0.455,5,11,0.750,18,24,36,10,26,17,12,10,13,25,79
ATL,2014-03-21,L,Home,NOP111-105ATL,0.447,38,85,0.286,8,28,0.778,21,27,34,8,26,22,7,3,16,29,105
MEM,2014-03-21,L,Away,MIA91-86MEM,0.456,36,79,0.214,3,14,0.647,11,17,43,15,28,17,7,1,17,19,86
MIA,2014-03-21,W,Home,MEM86-91MIA,0.467,35,75,0.350,7,20,0.875,14,16,34,10,24,20,9,5,15,18,91
PHI,2014-03-21,L,Home,NYK93-92PHI,0.374,34,91,0.244,10,41,0.667,14,21,53,19,34,20,8,1,11,22,92
WAS,2014-03-21,W,Away,LAL107-117WAS,0.483,42,87,0.400,10,25,0.793,23,29,44,9,35,21,9,7,20,22,117
LAL,2014-03-21,L,Home,WAS117-107LAL,0.473,43,91,0.368,7,19,0.609,14,23,44,11,33,32,12,5,21,22,107
NYK,2014-03-21,W,Away,PHI92-93NYK,0.415,34,82,0.241,7,29,0.720,18,25,47,9,38,29,6,2,12,17,93
DET,2014-03-21,L,Away,PHX98-92DET,0.433,39,90,0.250,4,16,0.385,10,26,53,14,39,22,8,3,19,27,92
BKN,2014-03-21,W,Home,BOS98-114BKN,0.564,44,78,0.529,9,17,0.708,17,24,39,7,32,30,6,3,11,17,114
BOS,2014-03-21,L,Away,BKN114-98BOS,0.422,35,83,0.333,9,27,0.826,19,23,37,12,25,20,7,3,11,18,98
PHX,2014-03-21,W,Home,DET92-98PHX,0.452,33,73,0.320,8,25,0.686,24,35,39,4,35,17,11,7,13,21,98
MIA,2014-03-22,L,Away,NOP105-95MIA,0.507,37,73,0.308,8,26,0.765,13,17,33,5,28,27,4,6,16,19,95
NOP,2014-03-22,W,Home,MIA95-105NOP,0.512,43,84,0.412,7,17,0.706,12,17,38,11,27,23,12,4,9,14,105
CHA,2014-03-22,W,Home,POR94-124CHA,0.521,49,94,0.421,8,19,0.947,18,19,50,12,38,28,7,8,5,19,124
POR,2014-03-22,L,Away,CHA124-94POR,0.405,34,84,0.333,9,27,0.773,17,22,36,8,28,17,4,3,9,18,94
MEM,2014-03-22,W,Home,IND71-82MEM,0.440,33,75,0.385,5,13,0.647,11,17,47,10,37,14,4,8,12,18,82
IND,2014-03-22,L,Away,MEM82-71IND,0.365,27,74,0.400,6,15,0.786,11,14,35,8,27,14,7,5,11,19,71
ORL,2014-03-22,L,Away,UTA89-88ORL,0.392,31,79,0.412,7,17,0.792,19,24,45,6,39,20,7,5,13,23,88
DET,2014-03-22,L,Away,LAC112-103DET,0.452,42,93,0.414,12,29,0.538,7,13,46,16,30,29,9,2,17,15,103
LAC,2014-03-22,W,Home,DET103-112LAC,0.542,45,83,0.379,11,29,0.647,11,17,40,7,33,31,13,10,13,15,112
HOU,2014-03-22,W,Away,CLE111-118HOU,0.481,38,79,0.343,12,35,0.882,30,34,31,5,26,31,9,10,13,18,118
CLE,2014-03-22,L,Home,HOU118-111CLE,0.500,46,92,0.353,6,17,0.765,13,17,49,13,36,32,7,4,18,27,111
CHI,2014-03-22,W,Home,PHI81-91CHI,0.443,31,70,0.357,5,14,0.774,24,31,44,11,33,23,6,9,15,20,91
PHI,2014-03-22,L,Away,CHI91-81PHI,0.345,30,87,0.050,1,20,0.909,20,22,48,19,29,11,3,6,11,23,81
GSW,2014-03-22,L,Home,SAS99-90GSW,0.403,31,77,0.200,3,15,0.862,25,29,54,11,43,21,4,8,18,20,90
SAS,2014-03-22,W,Away,GSW90-99SAS,0.393,35,89,0.357,10,28,0.760,19,25,40,9,31,24,10,6,14,18,99
UTA,2014-03-22,W,Home,ORL88-89UTA,0.387,29,75,0.407,11,27,0.769,20,26,39,6,33,17,6,6,15,20,89
PHX,2014-03-23,W,Away,MIN120-127PHX,0.575,46,80,0.444,12,27,0.793,23,29,42,9,33,16,5,4,19,29,127
TOR,2014-03-23,W,Home,ATL86-96TOR,0.425,34,80,0.333,8,24,0.714,20,28,45,12,33,17,12,4,17,19,96
ATL,2014-03-23,L,Away,TOR96-86ATL,0.434,33,76,0.250,5,20,0.750,15,20,38,8,30,17,13,2,18,19,86
SAC,2014-03-23,W,Home,MIL107-124SAC,0.512,44,86,0.350,7,20,0.806,29,36,44,13,31,19,5,3,12,23,124
MIN,2014-03-23,L,Home,PHX127-120MIN,0.440,40,91,0.348,8,23,0.865,32,37,38,16,22,25,9,3,12,24,120
WAS,2014-03-23,L,Away,DEN105-102WAS,0.482,41,85,0.333,5,15,0.833,15,18,46,12,34,20,8,7,24,20,102
MIL,2014-03-23,L,Away,SAC124-107MIL,0.494,42,85,0.222,4,18,0.633,19,30,40,11,29,25,3,6,13,31,107
BKN,2014-03-23,W,Away,DAL104-107BKN,0.405,34,84,0.367,11,30,0.848,28,33,47,14,33,17,8,2,14,29,107
DAL,2014-03-23,L,Home,BKN107-104DAL,0.385,35,91,0.323,10,31,0.774,24,31,52,18,34,21,2,9,14,25,104
NYK,2014-03-23,L,Home,CLE106-100NYK,0.455,35,77,0.444,12,27,0.947,18,19,34,9,25,21,7,2,13,13,100
DEN,2014-03-23,W,Home,WAS102-105DEN,0.440,40,91,0.407,11,27,0.778,14,18,38,10,28,26,15,6,15,20,105
CLE,2014-03-23,W,Away,NYK100-106CLE,0.609,42,69,0.500,9,18,0.765,13,17,33,3,30,17,5,3,13,18,106
ORL,2014-03-23,L,Away,LAL103-94ORL,0.451,37,82,0.316,6,19,0.824,14,17,46,13,33,26,5,3,20,24,94
LAL,2014-03-23,W,Home,ORL94-103LAL,0.463,37,80,0.375,6,16,0.793,23,29,34,7,27,20,9,4,14,16,103
NOP,2014-03-24,W,Home,BKN104-109NOP,0.471,40,85,0.450,9,20,0.741,20,27,53,14,39,19,7,5,16,26,109
BKN,2014-03-24,L,Away,NOP109-104BKN,0.367,33,90,0.250,10,40,0.875,28,32,46,15,31,16,9,4,11,21,104
CHA,2014-03-24,L,Home,HOU100-89CHA,0.372,32,86,0.190,4,21,0.840,21,25,38,13,25,12,7,4,10,18,89
HOU,2014-03-24,W,Away,CHA89-100HOU,0.476,39,82,0.444,12,27,0.556,10,18,42,11,31,22,5,7,12,24,100
DEN,2014-03-24,L,Away,OKC117-96DEN,0.390,30,77,0.321,9,28,0.675,27,40,42,12,30,20,7,2,21,25,96
OKC,2014-03-24,W,Home,DEN96-117OKC,0.506,45,89,0.500,11,22,0.762,16,21,40,7,33,32,13,6,14,33,117
MIN,2014-03-24,L,Away,MEM109-92MIN,0.378,34,90,0.292,7,24,0.850,17,20,42,14,28,19,7,4,10,14,92
MEM,2014-03-24,W,Home,MIN92-109MEM,0.527,48,91,0.500,6,12,0.538,7,13,54,16,38,25,4,4,14,19,109
