Team,Date,W/L,Home/Away,Score,FG%,FGM,FGA,3P%,3PM,3PA,FT%,FTM,FTA,REB,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
CHI,2016-04-07,L,Away,MIA106-98CHI,0.449,35,78,0.214,3,14,0.893,25,28,41,12,29,18,6,7,14,12,98
TOR,2016-04-07,L,Away,ATL95-87TOR,0.381,32,84,0.381,8,21,0.750,15,20,46,8,38,16,10,4,12,16,87
HOU,2016-04-07,L,Home,PHX124-115HOU,0.568,42,74,0.424,14,33,0.607,17,28,26,5,21,26,13,12,20,24,115
PHX,2016-04-07,W,Away,HOU115-124PHX,0.468,44,94,0.387,12,31,0.828,24,29,47,20,27,31,11,2,21,24,124
GSW,2016-04-07,W,Home,SAS101-112GSW,0.542,45,83,0.480,12,25,0.909,10,11,43,7,36,33,8,2,16,22,112
SAS,2016-04-07,L,Away,GSW112-101SAS,0.488,39,80,0.438,7,16,0.696,16,23,32,5,27,28,10,2,12,11,101
MIA,2016-04-07,W,Home,CHI98-106MIA,0.478,44,92,0.286,4,14,0.824,14,17,47,15,32,16,8,2,10,20,106
DEN,2016-04-08,W,Home,SAS98-102DEN,0.465,40,86,0.273,6,22,0.842,16,19,47,8,39,21,9,7,11,23,102
LAL,2016-04-08,L,Away,NOP110-102LAL,0.420,34,81,0.458,11,24,0.852,23,27,34,10,24,18,9,5,13,23,102
NOP,2016-04-08,W,Home,LAL102-110NOP,0.532,42,79,0.455,10,22,0.762,16,21,43,9,34,29,5,4,16,20,110
TOR,2016-04-08,W,Home,IND98-111TOR,0.544,37,68,0.455,10,22,0.711,27,38,36,5,31,21,4,5,17,19,111
IND,2016-04-08,L,Away,TOR111-98IND,0.446,37,83,0.296,8,27,0.800,16,20,33,9,24,22,7,7,10,28,98
CHA,2016-04-08,W,Home,BKN99-113CHA,0.494,41,83,0.378,14,37,0.850,17,20,42,10,32,26,11,12,13,17,113
BKN,2016-04-08,L,Away,CHA113-99BKN,0.424,39,92,0.400,10,25,0.550,11,20,45,16,29,24,9,5,15,17,99
