Team_A,Date_A,W/L_A,Home/Away_A,Score_A,FG%_A,FGM_A,FGA_A,3P%_A,3PM_A,3PA_A,FT%_A,FTM_A,FTA_A,REB_A,OREB_A,DREB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,Opponent_A,Team_B,Date_B,W/L_B,Home/Away_B,Score_B,FG%_B,FGM_B,FGA_B,3P%_B,3PM_B,3PA_B,FT%_B,FTM_B,FTA_B,REB_B,OREB_B,DREB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,Opponent_B
NOP,2018-04-11,1,1,SAS98-122NOP,0.591,52,88,0.263,5,19,0.684,13,19,51,11,40,30,11,5,19,20,122,SAS,SAS,2018-04-11,0,0,NOP122-98SAS,0.402,37,92,0.333,8,24,0.842,16,19,38,12,26,22,9,1,17,17,98,NOP
BKN,2018-04-11,0,0,BOS110-97BKN,0.407,37,91,0.275,11,40,0.750,12,16,44,10,34,27,10,6,16,12,97,BOS,BOS,2018-04-11,1,1,BKN97-110BOS,0.451,46,102,0.250,6,24,0.800,12,15,62,20,42,22,6,6,14,14,110,BKN
DET,2018-04-11,1,0,CHI87-119DET,0.528,47,89,0.429,15,35,1.000,10,10,47,7,40,27,12,4,12,21,119,CHI,CHI,2018-04-11,0,1,DET119-87CHI,0.372,32,86,0.324,11,34,0.667,12,18,40,12,28,21,8,1,19,15,87,DET
PHI,2018-04-11,1,1,MIL95-130PHI,0.495,52,105,0.417,15,36,0.733,11,15,57,17,40,35,15,7,12,17,130,MIL,MIL,2018-04-11,0,0,PHI130-95MIL,0.411,37,90,0.280,7,25,0.875,14,16,43,10,33,22,6,5,20,17,95,PHI
MIL,2018-04-11,0,0,PHI130-95MIL,0.411,37,90,0.280,7,25,0.875,14,16,43,10,33,22,6,5,20,17,95,PHI,PHI,2018-04-11,1,1,MIL95-130PHI,0.495,52,105,0.417,15,36,0.733,11,15,57,17,40,35,15,7,12,17,130,MIL
CHI,2018-04-11,0,1,DET119-87CHI,0.372,32,86,0.324,11,34,0.667,12,18,40,12,28,21,8,1,19,15,87,DET,DET,2018-04-11,1,0,CHI87-119DET,0.528,47,89,0.429,15,35,1.000,10,10,47,7,40,27,12,4,12,21,119,CHI
UTA,2018-04-11,0,0,POR102-93UTA,0.371,33,89,0.348,8,23,0.792,19,24,53,14,39,18,5,7,15,19,93,POR,POR,2018-04-11,1,1,UTA93-102POR,0.461,41,89,0.375,9,24,0.688,11,16,46,7,39,19,9,9,10,22,102,UTA
SAS,2018-04-11,0,0,NOP122-98SAS,0.402,37,92,0.333,8,24,0.842,16,19,38,12,26,22,9,1,17,17,98,NOP,NOP,2018-04-11,1,1,SAS98-122NOP,0.591,52,88,0.263,5,19,0.684,13,19,51,11,40,30,11,5,19,20,122,SAS
TOR,2018-04-11,0,0,MIA116-109TOR,0.457,42,92,0.300,9,30,0.762,16,21,47,9,38,24,5,10,14,24,109,MIA,MIA,2018-04-11,1,1,TOR109-116MIA,0.434,46,106,0.423,11,26,0.650,13,20,56,19,37,26,8,7,9,18,116,TOR
MEM,2018-04-11,0,0,OKC137-123MEM,0.484,44,91,0.419,13,31,0.917,22,24,41,9,32,22,9,2,13,22,123,OKC,OKC,2018-04-11,1,1,MEM123-137OKC,0.553,47,85,0.465,20,43,0.719,23,32,45,8,37,32,8,3,14,23,137,MEM
SAC,2018-04-11,1,1,HOU83-96SAC,0.475,38,80,0.269,7,26,0.650,13,20,48,6,42,22,6,3,11,14,96,HOU,HOU,2018-04-11,0,0,SAC96-83HOU,0.378,31,82,0.283,13,46,0.667,8,12,40,8,32,11,2,6,14,24,83,SAC
